Transaction ID,Account Number,Customer ID,Transaction Type,Transaction Date and Time,Transaction Amount,Closing Balance,Transaction Mode,Transaction Status,Merchant Category Code,Merchant ID,Merchant Name,Transaction Location,Transaction Type,Payment Mode
TX47186,ACC1,CUSTOMER1,Transfer,1/29/2025 5:50,171.66,5623.08,Mobile,Pending,Clothing,MER352,Merchant 5,Location 31,Debit,Debit Card
TX24562,ACC1,CUSTOMER1,Transfer,10/27/2024 4:24,495.53,4950.99,Mobile,Pending,Electronics,MER893,Merchant 86,Location 14,Credit,Net Banking
TX33116,ACC1,CUSTOMER1,Refund,11/1/2024 18:53,172.29,7130.99,Mobile,Completed,Electronics,MER965,Merchant 57,Location 44,Credit,Wallet
TX76829,ACC1,CUSTOMER1,Purchase,9/20/2024 3:26,478.6,5058.29,Offline,Pending,Groceries,MER609,Merchant 40,Location 40,Credit,Net Banking
TX83648,ACC1,CUSTOMER1,Purchase,2/9/2025 1:13,296.92,727.95,Mobile,Failed,Groceries,MER148,Merchant 35,Location 10,Credit,Credit Card
TX96439,ACC1,CUSTOMER1,Transfer,10/27/2024 4:26,329.08,3028.38,Mobile,Failed,Electronics,MER368,Merchant 94,Location 44,Debit,Wallet
TX98413,ACC1,CUSTOMER1,Purchase,12/9/2024 13:05,394.91,1823.25,Online,Completed,Groceries,MER297,Merchant 61,Location 25,Debit,Net Banking
TX21965,ACC1,CUSTOMER1,Refund,1/11/2025 9:18,175.93,8445.6,Mobile,Failed,Clothing,MER527,Merchant 91,Location 44,Credit,Wallet
TX84780,ACC1,CUSTOMER1,Refund,10/4/2024 0:33,418.04,7469.2,Online,Pending,Groceries,MER323,Merchant 5,Location 23,Credit,Debit Card
TX21032,ACC1,CUSTOMER1,Refund,3/2/2025 1:07,194.7,5868.69,Offline,Pending,Electronics,MER472,Merchant 48,Location 21,Credit,Debit Card
TX44829,ACC1,CUSTOMER1,Refund,12/29/2024 13:56,231.88,2769.12,Mobile,Failed,Clothing,MER935,Merchant 77,Location 32,Credit,Wallet
TX73082,ACC1,CUSTOMER1,Refund,3/10/2025 9:00,164.28,2777.28,Mobile,Failed,Electronics,MER941,Merchant 16,Location 11,Debit,Net Banking
TX94213,ACC1,CUSTOMER1,Refund,2/28/2025 11:29,377.11,507.65,Offline,Completed,Electronics,MER759,Merchant 21,Location 41,Debit,Debit Card
TX80766,ACC1,CUSTOMER1,Purchase,3/3/2025 10:35,447.95,2609.42,Online,Failed,Electronics,MER451,Merchant 60,Location 2,Debit,Debit Card
TX51858,ACC1,CUSTOMER1,Transfer,10/5/2024 22:04,166.42,4554.43,Offline,Pending,Electronics,MER467,Merchant 49,Location 27,Credit,Net Banking
TX63161,ACC1,CUSTOMER1,Transfer,2/11/2025 2:15,207.12,7798.26,Offline,Pending,Entertainment,MER475,Merchant 50,Location 14,Credit,Net Banking
TX95853,ACC1,CUSTOMER1,Transfer,10/3/2024 9:06,381.83,2928.89,Mobile,Failed,Electronics,MER872,Merchant 43,Location 41,Debit,Wallet
TX27976,ACC1,CUSTOMER1,Transfer,9/14/2024 10:13,73.58,5825.03,Online,Pending,Clothing,MER714,Merchant 32,Location 30,Debit,Net Banking
TX22114,ACC1,CUSTOMER1,Refund,12/16/2024 22:14,416.54,8314.09,Mobile,Failed,Electronics,MER210,Merchant 79,Location 1,Credit,Debit Card
TX47218,ACC1,CUSTOMER1,Refund,12/1/2024 0:55,199.71,5665.93,Mobile,Completed,Groceries,MER851,Merchant 44,Location 47,Credit,Credit Card
TX42314,ACC1,CUSTOMER1,Refund,2/10/2025 0:08,129.05,1426.45,Mobile,Pending,Clothing,MER121,Merchant 91,Location 24,Credit,Credit Card
TX72091,ACC1,CUSTOMER1,Purchase,1/12/2025 12:09,390.64,7566.18,Online,Pending,Electronics,MER371,Merchant 13,Location 47,Credit,Debit Card
TX24754,ACC1,CUSTOMER1,Purchase,10/23/2024 8:00,217.87,1019.37,Mobile,Completed,Groceries,MER336,Merchant 44,Location 16,Credit,Credit Card
TX45558,ACC1,CUSTOMER1,Purchase,10/16/2024 14:47,100.09,9461.97,Offline,Failed,Electronics,MER535,Merchant 84,Location 4,Credit,Net Banking
TX21865,ACC1,CUSTOMER1,Purchase,10/12/2024 0:10,240.07,4835.39,Offline,Failed,Entertainment,MER148,Merchant 36,Location 49,Credit,Debit Card
TX14199,ACC1,CUSTOMER1,Refund,9/16/2024 10:28,454.92,6407.5,Mobile,Pending,Entertainment,MER418,Merchant 2,Location 30,Credit,Debit Card
TX57876,ACC1,CUSTOMER1,Purchase,12/1/2024 22:24,242.86,7051.58,Mobile,Failed,Entertainment,MER440,Merchant 14,Location 17,Debit,Net Banking
TX47171,ACC1,CUSTOMER1,Transfer,11/3/2024 18:06,211.58,6592.98,Online,Completed,Clothing,MER706,Merchant 93,Location 16,Debit,Credit Card
TX15721,ACC1,CUSTOMER1,Transfer,11/18/2024 8:26,194.17,9411.7,Offline,Pending,Entertainment,MER456,Merchant 23,Location 27,Credit,Wallet
TX80150,ACC1,CUSTOMER1,Transfer,10/6/2024 8:00,311.99,421.87,Mobile,Completed,Entertainment,MER714,Merchant 87,Location 5,Credit,Credit Card
TX37026,ACC1,CUSTOMER1,Refund,11/3/2024 2:23,458.71,1364.28,Offline,Completed,Entertainment,MER821,Merchant 52,Location 34,Credit,Credit Card
TX53556,ACC1,CUSTOMER1,Purchase,1/5/2025 6:29,140.29,4680.84,Offline,Completed,Clothing,MER989,Merchant 67,Location 50,Credit,Wallet
TX36018,ACC1,CUSTOMER1,Purchase,12/30/2024 9:45,77.41,5202.51,Offline,Pending,Clothing,MER261,Merchant 55,Location 28,Debit,Debit Card
TX94310,ACC1,CUSTOMER1,Refund,1/12/2025 21:47,365.21,5392.82,Mobile,Pending,Groceries,MER689,Merchant 58,Location 40,Credit,Credit Card
TX18576,ACC1,CUSTOMER1,Transfer,11/14/2024 6:28,19.24,8968.77,Online,Completed,Electronics,MER365,Merchant 66,Location 39,Credit,Net Banking
TX73555,ACC1,CUSTOMER1,Transfer,1/1/2025 18:02,183.03,9086.31,Offline,Failed,Groceries,MER977,Merchant 63,Location 1,Credit,Debit Card
TX92903,ACC1,CUSTOMER1,Transfer,1/9/2025 8:05,450.03,814.56,Online,Completed,Clothing,MER664,Merchant 60,Location 24,Credit,Net Banking
TX62785,ACC1,CUSTOMER1,Purchase,2/15/2025 0:56,130.19,8329.51,Offline,Pending,Clothing,MER578,Merchant 2,Location 42,Debit,Wallet
TX47569,ACC1,CUSTOMER1,Purchase,1/24/2025 21:08,314.93,7092.54,Mobile,Completed,Entertainment,MER984,Merchant 27,Location 28,Debit,Wallet
TX74096,ACC1,CUSTOMER1,Refund,12/11/2024 12:10,115.88,7172.99,Mobile,Completed,Clothing,MER641,Merchant 12,Location 36,Debit,Debit Card
TX72767,ACC1,CUSTOMER1,Purchase,2/1/2025 14:39,96.75,3794.54,Online,Failed,Clothing,MER112,Merchant 62,Location 45,Credit,Debit Card
TX81060,ACC1,CUSTOMER1,Transfer,2/8/2025 10:18,290.36,8342.08,Offline,Pending,Electronics,MER686,Merchant 74,Location 14,Debit,Credit Card
TX45599,ACC1,CUSTOMER1,Transfer,10/29/2024 10:48,277.91,8313.64,Mobile,Failed,Clothing,MER266,Merchant 74,Location 13,Credit,Credit Card
TX64474,ACC1,CUSTOMER1,Purchase,10/25/2024 10:44,77.87,6685.64,Mobile,Pending,Clothing,MER140,Merchant 99,Location 49,Debit,Wallet
TX98162,ACC1,CUSTOMER1,Transfer,2/25/2025 6:36,126.88,4779.07,Offline,Failed,Groceries,MER556,Merchant 91,Location 31,Credit,Debit Card
TX42792,ACC1,CUSTOMER1,Transfer,10/31/2024 4:19,96,4763.93,Mobile,Pending,Electronics,MER566,Merchant 41,Location 32,Debit,Credit Card
TX53042,ACC1,CUSTOMER1,Refund,1/12/2025 16:34,424,9379.33,Offline,Failed,Clothing,MER276,Merchant 59,Location 6,Credit,Wallet
TX18584,ACC1,CUSTOMER1,Purchase,1/7/2025 15:33,233.04,5264.4,Online,Pending,Entertainment,MER198,Merchant 44,Location 15,Credit,Credit Card
TX33039,ACC1,CUSTOMER1,Purchase,12/7/2024 11:25,184.65,1827,Offline,Failed,Clothing,MER366,Merchant 55,Location 35,Debit,Net Banking
TX89208,ACC1,CUSTOMER1,Transfer,12/30/2024 13:35,400.76,6308.22,Offline,Completed,Electronics,MER758,Merchant 34,Location 38,Credit,Wallet
TX98721,ACC1,CUSTOMER1,Purchase,9/15/2024 19:29,456.22,8539.31,Offline,Failed,Entertainment,MER143,Merchant 61,Location 21,Debit,Wallet
TX71757,ACC1,CUSTOMER1,Transfer,11/28/2024 15:50,484.83,6172.51,Offline,Failed,Groceries,MER915,Merchant 70,Location 40,Debit,Debit Card
TX58829,ACC1,CUSTOMER1,Transfer,12/16/2024 19:17,240.32,6834.29,Offline,Failed,Entertainment,MER627,Merchant 11,Location 11,Credit,Wallet
TX33318,ACC1,CUSTOMER1,Purchase,1/29/2025 2:44,322.4,7010.38,Mobile,Completed,Groceries,MER195,Merchant 48,Location 22,Credit,Net Banking
TX30728,ACC1,CUSTOMER1,Transfer,1/4/2025 13:22,204.28,7481.12,Mobile,Failed,Clothing,MER386,Merchant 47,Location 9,Credit,Wallet
TX97295,ACC1,CUSTOMER1,Refund,3/8/2025 20:20,53.68,6339.6,Mobile,Pending,Electronics,MER263,Merchant 93,Location 35,Debit,Net Banking
TX73152,ACC1,CUSTOMER1,Refund,2/25/2025 18:14,464.3,8239.37,Offline,Completed,Electronics,MER815,Merchant 46,Location 15,Debit,Debit Card
TX26972,ACC1,CUSTOMER1,Refund,9/16/2024 1:23,437.84,3496.13,Mobile,Completed,Electronics,MER453,Merchant 52,Location 15,Credit,Net Banking
TX40809,ACC1,CUSTOMER1,Refund,11/20/2024 15:12,77.33,7061.62,Offline,Completed,Electronics,MER307,Merchant 56,Location 21,Debit,Wallet
TX88676,ACC1,CUSTOMER1,Refund,3/4/2025 23:05,402.8,560.49,Mobile,Failed,Clothing,MER508,Merchant 98,Location 37,Credit,Net Banking
TX48811,ACC1,CUSTOMER1,Transfer,2/2/2025 8:57,61.78,736.16,Online,Completed,Clothing,MER815,Merchant 76,Location 33,Credit,Debit Card
TX85150,ACC1,CUSTOMER1,Transfer,1/20/2025 6:52,84.61,8645.93,Mobile,Pending,Groceries,MER105,Merchant 6,Location 25,Credit,Credit Card
TX46045,ACC1,CUSTOMER1,Transfer,2/20/2025 19:58,230.73,7454.21,Online,Failed,Electronics,MER461,Merchant 20,Location 36,Debit,Credit Card
TX69936,ACC1,CUSTOMER1,Purchase,9/19/2024 11:17,141.77,7397.29,Mobile,Failed,Groceries,MER161,Merchant 82,Location 5,Credit,Credit Card
TX34514,ACC1,CUSTOMER1,Transfer,1/22/2025 0:43,151.77,9617.97,Offline,Completed,Entertainment,MER323,Merchant 61,Location 44,Credit,Wallet
TX95815,ACC1,CUSTOMER1,Purchase,11/13/2024 18:55,226.38,7820.17,Mobile,Failed,Electronics,MER736,Merchant 31,Location 18,Debit,Debit Card
TX60542,ACC1,CUSTOMER1,Transfer,2/16/2025 5:07,130.8,5281.23,Mobile,Failed,Entertainment,MER459,Merchant 9,Location 24,Credit,Wallet
TX41195,ACC1,CUSTOMER1,Transfer,12/4/2024 15:02,275.38,5648.94,Mobile,Pending,Entertainment,MER709,Merchant 6,Location 50,Credit,Net Banking
TX81079,ACC1,CUSTOMER1,Purchase,11/8/2024 1:49,15.3,3124.31,Mobile,Completed,Groceries,MER378,Merchant 60,Location 5,Debit,Debit Card
TX16916,ACC1,CUSTOMER1,Transfer,12/16/2024 22:15,266.33,1674.17,Offline,Failed,Electronics,MER636,Merchant 20,Location 4,Credit,Debit Card
TX61729,ACC1,CUSTOMER1,Refund,11/7/2024 1:02,49.23,9879.22,Mobile,Completed,Clothing,MER677,Merchant 42,Location 43,Debit,Wallet
TX67370,ACC1,CUSTOMER1,Refund,12/1/2024 4:54,99.57,6809.26,Offline,Pending,Entertainment,MER635,Merchant 91,Location 5,Credit,Debit Card
TX86313,ACC1,CUSTOMER1,Purchase,11/1/2024 14:31,292.14,5107.45,Online,Completed,Entertainment,MER491,Merchant 5,Location 6,Debit,Net Banking
TX87872,ACC1,CUSTOMER1,Purchase,10/12/2024 9:54,191.83,6172.9,Mobile,Pending,Electronics,MER232,Merchant 68,Location 44,Credit,Net Banking
TX20096,ACC1,CUSTOMER1,Purchase,1/20/2025 14:44,254.55,217.06,Mobile,Completed,Clothing,MER134,Merchant 71,Location 24,Credit,Debit Card
TX15582,ACC1,CUSTOMER1,Transfer,1/19/2025 22:15,338.08,8439.83,Offline,Completed,Electronics,MER870,Merchant 58,Location 4,Debit,Debit Card
TX78643,ACC1,CUSTOMER1,Transfer,9/15/2024 22:09,323.4,2102.51,Online,Failed,Electronics,MER410,Merchant 98,Location 3,Debit,Debit Card
TX69398,ACC1,CUSTOMER1,Transfer,2/4/2025 17:35,232.06,1558.33,Online,Failed,Groceries,MER923,Merchant 71,Location 36,Credit,Net Banking
TX29245,ACC1,CUSTOMER1,Refund,10/27/2024 12:13,218.74,6515.93,Mobile,Completed,Entertainment,MER478,Merchant 70,Location 16,Debit,Debit Card
TX24272,ACC1,CUSTOMER1,Transfer,3/7/2025 12:19,101.63,9521.47,Online,Failed,Clothing,MER942,Merchant 87,Location 45,Credit,Debit Card
TX69368,ACC1,CUSTOMER1,Purchase,10/10/2024 18:13,415.52,4661.72,Mobile,Failed,Electronics,MER556,Merchant 51,Location 45,Debit,Debit Card
TX60248,ACC1,CUSTOMER1,Refund,12/3/2024 15:49,464.77,835.35,Online,Failed,Groceries,MER654,Merchant 54,Location 23,Credit,Credit Card
TX38061,ACC1,CUSTOMER1,Refund,1/19/2025 20:31,388.45,5447.8,Online,Pending,Entertainment,MER629,Merchant 61,Location 31,Debit,Wallet
TX39279,ACC1,CUSTOMER1,Purchase,11/30/2024 19:15,101.05,1624.19,Mobile,Pending,Clothing,MER730,Merchant 38,Location 21,Debit,Debit Card
TX52027,ACC1,CUSTOMER1,Refund,1/7/2025 23:17,163.84,1219.21,Mobile,Pending,Electronics,MER101,Merchant 15,Location 14,Credit,Debit Card
TX92706,ACC1,CUSTOMER1,Refund,1/7/2025 0:30,129.57,6698.07,Offline,Failed,Entertainment,MER520,Merchant 2,Location 24,Debit,Credit Card
TX94472,ACC1,CUSTOMER1,Transfer,1/29/2025 2:16,131.95,4043.46,Online,Failed,Electronics,MER659,Merchant 58,Location 36,Credit,Net Banking
TX21442,ACC1,CUSTOMER1,Purchase,2/14/2025 16:05,285.83,9892.87,Offline,Pending,Clothing,MER646,Merchant 65,Location 3,Debit,Credit Card
TX37433,ACC1,CUSTOMER1,Transfer,10/12/2024 21:11,248.97,8241.92,Online,Pending,Electronics,MER414,Merchant 15,Location 25,Debit,Net Banking
TX63295,ACC1,CUSTOMER1,Refund,1/22/2025 19:03,256.64,3330.26,Offline,Pending,Clothing,MER986,Merchant 45,Location 18,Debit,Credit Card
TX85145,ACC1,CUSTOMER1,Refund,3/11/2025 9:15,142.21,4195.23,Mobile,Failed,Entertainment,MER109,Merchant 65,Location 32,Debit,Wallet
TX37873,ACC1,CUSTOMER1,Transfer,2/23/2025 18:17,388.88,2193.84,Mobile,Completed,Clothing,MER165,Merchant 92,Location 25,Credit,Net Banking
TX78531,ACC1,CUSTOMER1,Refund,1/1/2025 22:54,462.4,7980.35,Offline,Completed,Clothing,MER877,Merchant 43,Location 34,Credit,Credit Card
TX93207,ACC1,CUSTOMER1,Transfer,12/18/2024 18:01,374.96,2995.61,Mobile,Completed,Entertainment,MER405,Merchant 72,Location 45,Credit,Debit Card
TX97739,ACC1,CUSTOMER1,Purchase,1/5/2025 23:35,410.09,8958.81,Offline,Failed,Clothing,MER620,Merchant 71,Location 18,Credit,Debit Card
TX90860,ACC1,CUSTOMER1,Refund,9/26/2024 16:47,225.63,5114.59,Mobile,Pending,Electronics,MER798,Merchant 80,Location 10,Debit,Debit Card
TX16736,ACC1,CUSTOMER1,Purchase,12/6/2024 23:46,406.49,957.1,Online,Pending,Entertainment,MER981,Merchant 1,Location 34,Debit,Net Banking
TX34351,ACC1,CUSTOMER1,Purchase,2/17/2025 23:24,433.12,2077.78,Online,Failed,Entertainment,MER147,Merchant 40,Location 47,Debit,Net Banking
TX15156,ACC1,CUSTOMER1,Purchase,2/20/2025 19:19,157.14,7516.82,Offline,Completed,Electronics,MER585,Merchant 65,Location 44,Debit,Credit Card
TX37661,ACC1,CUSTOMER1,Purchase,12/18/2024 23:54,194.1,4114.3,Offline,Pending,Entertainment,MER865,Merchant 3,Location 19,Debit,Debit Card
TX40603,ACC1,CUSTOMER1,Refund,11/9/2024 0:55,234.11,5318.79,Mobile,Completed,Entertainment,MER467,Merchant 87,Location 17,Debit,Debit Card
TX98826,ACC1,CUSTOMER1,Refund,3/9/2025 19:26,351.73,1720.14,Offline,Failed,Groceries,MER785,Merchant 7,Location 18,Credit,Wallet
TX72732,ACC1,CUSTOMER1,Transfer,2/20/2025 2:04,57.23,3585.97,Offline,Completed,Entertainment,MER962,Merchant 4,Location 39,Debit,Net Banking
TX71825,ACC1,CUSTOMER1,Refund,11/17/2024 0:49,424.1,1459.65,Online,Failed,Groceries,MER450,Merchant 53,Location 41,Credit,Wallet
TX46841,ACC1,CUSTOMER1,Refund,1/19/2025 11:05,120.78,8063.86,Mobile,Failed,Entertainment,MER561,Merchant 38,Location 42,Debit,Net Banking
TX57878,ACC1,CUSTOMER1,Transfer,10/27/2024 7:10,234.44,1928.52,Offline,Pending,Entertainment,MER578,Merchant 72,Location 8,Credit,Credit Card
TX44395,ACC1,CUSTOMER1,Refund,10/22/2024 23:41,91.09,3692.05,Mobile,Completed,Entertainment,MER237,Merchant 23,Location 3,Debit,Debit Card
TX87081,ACC1,CUSTOMER1,Purchase,10/24/2024 15:24,441.5,9265.85,Offline,Pending,Electronics,MER571,Merchant 96,Location 23,Credit,Net Banking
TX18623,ACC1,CUSTOMER1,Purchase,1/1/2025 22:13,362.15,8754.78,Mobile,Pending,Clothing,MER195,Merchant 81,Location 15,Credit,Credit Card
TX85019,ACC1,CUSTOMER1,Purchase,10/16/2024 19:52,260.11,5325.18,Online,Failed,Electronics,MER257,Merchant 17,Location 45,Credit,Credit Card
TX87376,ACC1,CUSTOMER1,Refund,11/19/2024 3:50,249.28,4699.08,Mobile,Failed,Clothing,MER788,Merchant 32,Location 29,Debit,Credit Card
TX17064,ACC1,CUSTOMER1,Refund,11/25/2024 16:58,207.76,5591.27,Offline,Completed,Electronics,MER289,Merchant 92,Location 2,Credit,Wallet
TX18459,ACC1,CUSTOMER1,Transfer,1/7/2025 18:19,226.65,491.39,Online,Completed,Electronics,MER362,Merchant 16,Location 21,Credit,Net Banking
TX16464,ACC1,CUSTOMER1,Transfer,1/5/2025 13:22,176.95,4488.05,Offline,Pending,Clothing,MER400,Merchant 40,Location 29,Debit,Debit Card
TX66086,ACC1,CUSTOMER1,Purchase,12/3/2024 0:18,84.87,1608.48,Online,Failed,Groceries,MER261,Merchant 84,Location 15,Credit,Credit Card
TX96324,ACC1,CUSTOMER1,Transfer,9/19/2024 16:44,355.39,8444.23,Mobile,Completed,Electronics,MER829,Merchant 44,Location 41,Credit,Net Banking
TX39818,ACC1,CUSTOMER1,Refund,1/23/2025 0:40,128.72,9737.12,Offline,Failed,Entertainment,MER455,Merchant 96,Location 28,Debit,Net Banking
TX17119,ACC1,CUSTOMER1,Transfer,10/23/2024 15:38,390.64,4722.31,Mobile,Completed,Clothing,MER185,Merchant 9,Location 5,Debit,Credit Card
TX10239,ACC1,CUSTOMER1,Refund,10/29/2024 15:17,61.29,5612.31,Online,Completed,Entertainment,MER298,Merchant 2,Location 48,Debit,Net Banking
TX60759,ACC1,CUSTOMER1,Transfer,12/9/2024 22:08,77.14,3697.4,Online,Pending,Groceries,MER487,Merchant 84,Location 16,Debit,Debit Card
TX43809,ACC1,CUSTOMER1,Transfer,2/27/2025 7:30,121.47,3772.8,Online,Completed,Groceries,MER644,Merchant 10,Location 36,Credit,Net Banking
TX15489,ACC1,CUSTOMER1,Transfer,1/28/2025 5:05,306.19,6190.91,Online,Completed,Clothing,MER888,Merchant 35,Location 1,Debit,Debit Card
TX66498,ACC1,CUSTOMER1,Purchase,12/24/2024 7:11,416.68,476.89,Offline,Failed,Electronics,MER265,Merchant 53,Location 32,Credit,Net Banking
TX32575,ACC1,CUSTOMER1,Transfer,2/10/2025 13:38,280.78,5982.3,Online,Failed,Entertainment,MER230,Merchant 65,Location 41,Debit,Debit Card
TX72915,ACC1,CUSTOMER1,Transfer,11/11/2024 22:37,171.47,7397.13,Mobile,Completed,Clothing,MER631,Merchant 50,Location 30,Credit,Net Banking
TX89102,ACC1,CUSTOMER1,Transfer,10/14/2024 9:29,44.1,272.73,Offline,Completed,Electronics,MER256,Merchant 89,Location 25,Credit,Debit Card
TX53996,ACC1,CUSTOMER1,Transfer,11/2/2024 3:12,237.27,1365.81,Online,Completed,Groceries,MER586,Merchant 81,Location 26,Credit,Credit Card
TX95661,ACC1,CUSTOMER1,Refund,12/23/2024 8:02,361.8,3311.22,Mobile,Pending,Entertainment,MER640,Merchant 50,Location 3,Credit,Net Banking
TX32934,ACC1,CUSTOMER1,Refund,1/29/2025 16:04,72.12,5823.1,Mobile,Completed,Groceries,MER625,Merchant 68,Location 18,Credit,Net Banking
TX61511,ACC1,CUSTOMER1,Transfer,1/29/2025 10:17,379.47,1209.91,Offline,Completed,Groceries,MER428,Merchant 92,Location 12,Debit,Net Banking
TX54924,ACC1,CUSTOMER1,Purchase,12/13/2024 15:20,380.52,3873.95,Mobile,Pending,Clothing,MER574,Merchant 3,Location 17,Debit,Net Banking
TX44013,ACC1,CUSTOMER1,Refund,11/25/2024 1:43,475.95,8455.01,Mobile,Pending,Groceries,MER564,Merchant 78,Location 20,Debit,Net Banking
TX72244,ACC1,CUSTOMER1,Refund,12/23/2024 2:07,79.01,5999.26,Online,Completed,Clothing,MER143,Merchant 83,Location 17,Credit,Credit Card
TX84036,ACC1,CUSTOMER1,Purchase,3/3/2025 0:15,382.26,4114.36,Online,Completed,Clothing,MER129,Merchant 78,Location 2,Credit,Wallet
TX61897,ACC1,CUSTOMER1,Refund,11/14/2024 9:28,425.24,2516.62,Mobile,Pending,Clothing,MER807,Merchant 36,Location 29,Debit,Credit Card
TX37912,ACC1,CUSTOMER1,Transfer,3/4/2025 23:14,41.82,9687.41,Offline,Pending,Groceries,MER355,Merchant 79,Location 11,Debit,Wallet
TX94593,ACC1,CUSTOMER1,Transfer,1/15/2025 11:22,311.06,8915.53,Online,Completed,Electronics,MER354,Merchant 70,Location 18,Debit,Credit Card
TX39921,ACC1,CUSTOMER1,Transfer,10/31/2024 8:00,273.86,7934.21,Offline,Failed,Groceries,MER813,Merchant 94,Location 20,Debit,Debit Card
TX96559,ACC1,CUSTOMER1,Transfer,12/17/2024 13:33,265.42,2609.75,Offline,Completed,Entertainment,MER530,Merchant 35,Location 49,Credit,Net Banking
TX19427,ACC1,CUSTOMER1,Refund,12/30/2024 12:03,347.99,9699.94,Offline,Pending,Entertainment,MER299,Merchant 8,Location 5,Debit,Credit Card
TX53420,ACC1,CUSTOMER1,Purchase,11/12/2024 1:09,499.05,1240.16,Offline,Completed,Groceries,MER894,Merchant 69,Location 33,Credit,Net Banking
TX92019,ACC1,CUSTOMER1,Transfer,11/21/2024 5:52,98.96,1819.3,Offline,Failed,Clothing,MER262,Merchant 68,Location 8,Credit,Credit Card
TX22203,ACC1,CUSTOMER1,Purchase,12/29/2024 20:13,424.96,2417.76,Mobile,Failed,Electronics,MER903,Merchant 18,Location 9,Credit,Wallet
TX70907,ACC1,CUSTOMER1,Purchase,9/14/2024 16:01,155.74,350.7,Online,Completed,Electronics,MER285,Merchant 17,Location 25,Debit,Debit Card
TX76098,ACC1,CUSTOMER1,Transfer,12/23/2024 11:38,438.87,7865.23,Offline,Completed,Electronics,MER677,Merchant 39,Location 46,Debit,Credit Card
TX19357,ACC1,CUSTOMER1,Transfer,9/15/2024 3:32,448.81,807.77,Online,Completed,Entertainment,MER352,Merchant 71,Location 35,Debit,Debit Card
TX10795,ACC1,CUSTOMER1,Refund,12/17/2024 1:54,182.91,4537.31,Offline,Pending,Electronics,MER172,Merchant 95,Location 36,Debit,Debit Card
TX55165,ACC1,CUSTOMER1,Refund,11/20/2024 15:13,344.2,110.31,Online,Failed,Clothing,MER312,Merchant 57,Location 39,Debit,Wallet
TX38761,ACC1,CUSTOMER1,Transfer,1/12/2025 12:58,115.48,3612.07,Mobile,Failed,Entertainment,MER850,Merchant 85,Location 25,Credit,Net Banking
TX91768,ACC1,CUSTOMER1,Refund,10/27/2024 6:23,105.93,5097.04,Offline,Completed,Clothing,MER222,Merchant 48,Location 3,Debit,Wallet
